Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
SLIT2	7	2:: missense: 1; frameshift indel: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
ROS1	7	1:: missense: 1; 	.	1:: frameshift indel: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
MAP1B	7	1:: missense: 1; 	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
HERC1	7	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	2:: missense: 2; 	.	.
BCLAF1	7	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	1:: missense: 1; 	1:: splice-site: 1; 	1:: splice-site: 1; 	2:: missense: 1; splice-site: 1; 	.	.	1:: missense: 1; 	.
SRRM2	7	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 
UBR5	7	.	1:: missense: 1; 	.	1:: nonsense: 1; 	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
CHD7	7	1:: missense: 1; 	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 
ZNF521	7	1:: missense: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 
KALRN	7	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	.
ALMS1	6	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	1:: missense: 1; 
ZSWIM6	6	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
ATXN7	6	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.	2:: missense: 2; 	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
GRM8	6	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: nonsense: 1; 	1:: missense: 1; 
HUWE1	6	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	.	.	.
POU5F1B	6	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	1:: missense: 1; 	.
NSD1	6	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	2:: missense: 2; 	1:: missense: 1; 	.	1:: frameshift indel: 1; 	.
CREBBP	6	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	2:: missense: 1; nonsense: 1; 	.	.
MYH9	6	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: splice-site: 1; 	.	1:: missense: 1; 	3:: missense: 3; 
COL5A1	6	1:: missense: 1; 	2:: missense: 2; 	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.
EP300	6	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.
ADAMTS20	6	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	.	.	.	.	3:: missense: 3; 	1:: missense: 1; 	.
USP6	6	.	1:: missense: 1; 	.	2:: missense: 2; 	.	1:: missense: 1; 	2:: missense: 2; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
SETD2	6	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	.	.	2:: missense: 1; nonsense: 1; 	2:: missense: 2; 	.	.	.
