Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
INPP5D	6	.	1:: unknown: 1; 	.	1:: unknown: 1; 	.	.	1:: unknown: 1; 	.	.	.	2:: splice-site: 1; unknown: 1; 	1:: unknown: 1; 	.	.	.	2:: unknown: 2; 	.	.	.	.
SPEN	6	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.
SPEG	6	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
MYO9A	6	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: nonsense: 1; 	.	.
TSHZ3	6	2:: missense: 1; nonsense: 1; 	1:: missense: 1; 	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.
MYCBP2	6	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	2:: missense: 1; frameshift indel: 1; 
ATRX	6	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: nonsense: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 
MYOCD	6	1:: nonsense: 1; 	2:: missense: 2; 	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
FLNA	6	.	2:: missense: 2; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.
CD22	6	2:: missense: 2; 	.	.	1:: nonsense: 1; 	.	.	.	2:: missense: 2; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 
PRKDC	6	.	1:: unknown: 1; 	.	.	1:: unknown: 1; 	.	.	.	.	.	1:: unknown: 1; 	.	.	.	1:: unknown: 1; 	1:: splice-site: 1; 	.	.	1:: unknown: 1; 	.
